Presenter,Title
Cristina Cifuentes,Keynote: From Student of Compilation to Mother of Decompilation -- 30 years edition
Ryan Williams,Simboxes & Scams - The long road to SS7
John Uhlmann,Kernel ETW is the best ETW
Cameron Fairbairn,From Past to Present: The Evolution of Command and Control
Warren James,"Detection Engineering, the why's, what's and how it fits into the bigger picture"
Andy Yang,A Journey from Pentest to Red Team Operation
Jess 'GirlGerms' Dodson,When it SIEMs like you're doing it all wrong…
Kaif Ahsan & Kumar Soorya,Live Hacking Marathon: Breaking The Supply Chain
Kelsey-Lee Stay,There's a 'U' in security team
Jim Burger,"Is the future really ""passwordless""? Exploring WebAuthN and Passkeys"
Ben Gittins,Getting Comfortable in the Grey: an argument for generalists in cyber security
Cole Cornford,AppSec Tales and Fails
Nick Young,Cyber Security Strategy: A 3 Step Guide
Bec Caldwell,"Ecosystems of Safety: Pollen, Perspectives, and Predicting Cyber Threats"
Paul McCarty,"The ""Holy Trinity"" of Offensive Security Practices: How bug bounty, penetration testing and red teaming can work together to deliver security ""Nirvana"" for your organisation"
Kristine Sihto,Clash of the Jargon - Simplify for understanding
Andrew Rooke,Alternative Cyber Careers - Solution and Enterprise Security Architecture
Nicole Murdoch,Where Inventors Need to Start
