Presenter,Title
Thomas Pitt,Keynote: Bypassing Intel CET with Counterfeit Objects
Cameron Fairbairn,"Breaking and Defending Entra ID: Recon, Privilege Escalation, and Real-World Attack Paths"
Rhiana Cooke,Shadow of a Doubt - A Deep-Dive into Shadow OT
Brent Muir,Deception in Depth Mindset; How to Capture an APT
Tatsuya,Threat Hunting with Better Data Visualisation
Adriana,Fortify Your WordPress: Essential Security Strategies
Ryan Williams,SkyJACKER: Why SDR is More Dangerous than Nail Clippers
Daniel Ting,Better AppSec through Better DevEx
James Bannan,From Head Tattoos to Malware: A History of Steganography
DJ,"Novel Threats & Nation States: Mastering the ABC's of Incident Response"
Ben Gittens,Developer Centric Security: AppSec for 2025 and Beyond
Dr Joel Panther,Do Not Obey in Advance — Cyber Security in the Fight Against Techno-Authoritarianism
Abby & Alex,Pretty Privilege — How Pleasing Words and Visuals Will Help You Get Ahead
Sam Gillespie,Beyond Passwords: The Present and Future War on Your Online Identity
Johannes Van Der Merwe,Planning a Pentest: A Data-Driven Approach
Adam Aurisch,"Beyond Identity: The Future of Trust, Attestation, and Assurance"
Heath Moodie,The Importance of Threat Modelling and How to Get Started
Dr. Gowri Ramachandran & Mr. Atticus D'Mello,Rolling the Risk Dice with GenAI: Early Bets and Emerging Insights
