Presenter,Title
Joe Grand,Keynote: Hacks Under Pressure
Macca and James,Cowboys and Endianness
Warren Finch,"OFDS, Google Earth & KML Mapping Workshop"
Lidia Giuliano,The Accidental Security Architect (and why that needs to change)
Bruce Large,Purple Teaming yo ICS
Skye Slater,Threat Actors are Stakeholders
Chris Djamaludin,Competitive Cyber Tabletop Challenge Walkthrough
Brendan Scarvell,OculaRCE: From Bluetooth to Contractor
Joel Panther,Piracy as an Emergent Socio-Technical Preservation System
Malcolm Gregory,The Honest Conman
Chris Spencer,EDR Survival Tactics: An Old Croc Doesn't Need New Tricks
D8RH8R aka Ryan Williams,40 Years of Encoding Flexibility: How BER Ambiguity Breaks SS7 Signalling Firewalls
