Presenter,Title
Katherine Mansted,Bytes and Satellites: Geopolitical Contest in the Age of Cyber
Cole Cornford,How AI will fundamentally change our approach to AppSec
Shota Shinogi,Detecting Malicious PowerShell Scripts: Challenges and Solutions
Brendan Scarvel,Hacking the Netcomm NF20MESH Router
Gyle Delacruz,In the White Room with Black Curtains - We Play Cards Against Humanity
Gavin Dilworth,OT / ICS – Common mistakes and rapid ROI
Alex Desmond,How to start taking your TTX’s off the table.
Kristine Sihto,Lazy Writing: The Information Security Nightmare that is AI Generated Text
Ryan Williams,Hacking SS7 to save lives
